fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
31.78,500,172,0,919,602.25,200.75,31,37.5
29.24,500,172,0,919,401.5,401.5,31,37.5
24.65,500,172,0,919,200.75,602.25,31,37.5
20.97,500,172,0,919,0,803,31,37.5
52.3,315,194,738,0,745,0,297,4.9
42.2,315,216,713,0,720,0,292,3.3
37.2,315,239,688,0,694,0,286,2.2
54.7,315,194,738,0,596,149,297,5.5
44,315,216,713,0,576,144,292,3.4
37.7,315,239,688,0,555,139,286,2.4
57.2,315,194,738,0,447,298,297,5.7
44.3,315,216,713,0,432,288,292,3.5
38.2,315,239,688,0,416,278,286,2.7
51.1,315,194,738,0,298,447,297,6.2
40.9,315,216,713,0,288,432,292,3.7
35.8,315,239,688,0,278,416,286,3
59.11,550,165,720,0,995,0,0,8.8
56.78,315,165,833,0,0,882,200,8.8
61.18,346.5,165,833,0,0,882,220,8.8
64.54,378,180,833,0,0,882,240,9.6
66.35,378,174,833,0,0,882,240,9.6
68.47,378,168,833,0,0,882,240,9.6
58.2,385,171,763,0,895,0,165,0.5775
57.3,385,171,763,0,448,448,165,0.5775
52,350,176,829,0,0,829,200,0.525
52,427.3,183,930,0,712,0,94.006,7
43.1,427.3,183,744,186,569.6,142.4,94.006,7
41,427.3,183,558,372,427.2,284.8,94.006,7
40.1,427.3,183,372,558,284.8,427.2,94.006,7
38.1,427.3,183,186,744,142.4,569.6,94.006,7
30,427.3,183,0,930,0,712,94.006,7
74.1,427.3,183,930,0,712,0,94.006,7
55,427.3,183,744,186,569.6,142.4,94.006,7
52.1,427.3,183,558,372,427.2,284.8,94.006,7
51,427.3,183,372,558,284.8,427.2,94.006,7
50.5,427.3,183,186,744,142.4,569.6,94.006,7
40,427.3,183,0,930,0,712,94.006,7
30.6,433,195,532,0,990,0,0,3.464
31.7,160,130,770,0,0,1115,127,3.464
33.5,144,129,770,0,0,1115,143,3.464
35.8,127,127,770,0,0,1115,159,3.464
37,111,128,770,0,0,1115,174,3.464
39.8,94,128,770,0,0,1115,190,3.464
39.2,78,128,770,0,0,1115,205,3.464
41.4,158,105,770,0,0,1115,195,3.464
